,Plant_ID,Boiler_ID,Fuel,Coal_Consumption,Plant_Boiler,Coal,Share_Selenium,Share_Arsenic,Share_Lead,Share_Mercury,Share_Chloride,Share_Boron,Share_Bromide,Share_Heat
5185,10855,STKR1,SUB,93513,10855_STKR1,93513,96.7102936317,184.08889226385,390.234518163,6.197093815610251,9331.69499955,4971.248427033,257.04578044215,1601971203.0
5186,10855,STKR2,SUB,93513,10855_STKR2,93513,96.7102936317,184.08889226385,390.234518163,6.197093815610251,9331.69499955,4971.248427033,257.04578044215,1601971203.0
5187,10855,STKR3,SUB,93513,10855_STKR3,93513,96.7102936317,184.08889226385,390.234518163,6.197093815610251,9331.69499955,4971.248427033,257.04578044215,1601971203.0
5188,10860,CFB1,BIT,7066,10860_CFB1,7066,5.05139278388347,7.805589648522224,23.34654764519915,0.5058663440884958,799.174141457366,333.55556055322245,54.33389219647323,121357734.18989833
5191,10860,CFB1,SUB,302965,10860_CFB1,302965,216.58579320255527,334.6759790354565,1001.0170969894932,21.689753316837127,34265.75060382549,14301.678517266777,2329.6444451322545,5203388895.958469
5194,10860,CFB2,BIT,6113,10860_CFB2,6113,4.3701053053891386,6.752840294567839,20.197770415383864,0.43763953600523287,691.3885545894252,288.5685170764009,47.005814180164286,104990069.21919735
5197,10860,CFB2,SUB,262162,10860_CFB2,262162,187.41625177023184,289.60217852191954,866.2011921540757,18.768600693309974,29650.87620616275,12375.54385306452,2015.8904395714428,4502602081.898121
5200,10860,CFB3,BIT,9627,10860_CFB3,9627,6.882218840991532,10.634646411877082,31.808266937493944,0.6892124673846519,1088.8266996617695,454.4493888261919,74.02666008709988,165342613.50780514
5203,10860,CFB3,SUB,412840,10860_CFB3,412840,295.13402163861474,456.05146200055407,1364.051617583359,29.55588189831512,46692.7614717321,19488.406116443864,3174.526472458535,7090479335.261481
5207,10861,,SUB,79524,10861_nan,79524,82.24299713159999,156.5502664698,331.85770772399997,5.270044684617001,7935.7277934,4227.578624484,218.59322921819998,1362325644.0
5209,10862,,SUB,87108,10862_nan,87108,90.08630091719999,171.4800640266,363.506126508,5.772635335089,8692.5378078,4630.751959428,239.4399050694,1492247148.0
5210,10863,,SUB,65388,10863_nan,65388,67.62367456919999,128.72225773259999,272.867458788,4.333253883579001,6525.0914058,3476.0941489080005,179.7366087234,1120161828.0
5211,10864,1,BIT,60347,10864_1,60347,80.13223253415185,133.2855424102089,300.5526095718731,5.753139682162374,9324.263716194535,4644.586449045715,2562.4036576886215,1126104880.9376035
5214,10864,1,SUB,117319,10864_1,117319,155.78294511200494,259.11688319259116,584.2963461706893,11.1845260637912,18127.053456182188,9029.41716432622,4981.500898410383,2189230591.8557463
5215,10864,2,BIT,67458,10864_2,67458,89.57462909985277,148.9912691584979,335.96828237525347,6.43106196959765,10422.99007021146,5191.882159506287,2864.344970592723,1258799659.6067553
5218,10864,2,SUB,126031,10864_2,126031,167.35124195919752,278.35866232788766,627.685650271807,12.015078583568464,19473.15161343088,9699.93329841882,5351.422529407504,2351800822.732648
5219,10864,3,BIT,71196,10864_3,71196,94.53816142478459,157.24721158362857,354.5850430191903,6.787421625121918,11000.551469637034,5479.576065525359,3023.0647888511294,1328552589.246087
5222,10864,3,SUB,132546,10864_3,132546,176.0022352970602,292.7480322850108,660.1330006183157,12.6361816214873,20479.789526019864,10201.358070413004,5628.056990604273,2473373946.4887333
5223,10864,4,BIT,71576,10864_4,71576,95.04274737541971,158.08649947061346,356.4775976057864,6.823648663404214,11059.265576587733,5508.822637030774,3039.200029872583,1335643577.277908
