,Plant_ID,Boiler_ID,Fuel,Coal_Consumption,Plant_Boiler,Coal,Share_Selenium,Share_Arsenic,Share_Lead,Share_Mercury,Share_Chloride,Share_Boron,Share_Bromide,Share_Heat
565,645,BB01,BIT,717031,645_BB01,717031,1671.9158161520022,9129.480084868586,18137.56944041678,73.62073935872279,339921.85884822445,62342.73006966679,6151.778995752857,17103435749.240894
568,645,BB02,BIT,583216,645_BB02,583216,1359.8966497026017,7425.702455230971,14752.6685718778,59.88136234812285,276484.37352084654,50708.097223566045,5003.711051247433,13911528767.834692
571,645,BB03,BIT,947800,645_BB03,947800,2210.0046030769486,12067.708682662878,23974.95828719682,97.31481172250218,449322.1880453525,82407.09196677715,8131.665342467143,22607999379.5673
575,645,BB04,BIT,1113993,645_BB04,1113993,2597.5202129093686,14183.733908552089,28178.872871100702,114.37858098247033,528109.0654433493,96856.85123585776,9557.520858673772,26572223098.588642
580,663,B2,BIT,303370,663_B2,303370,1274.7815393512572,4985.832449592774,2212.068467542959,34.634518949133835,304444.30669694283,6395.116657639031,5727.189059181307,7942223719.306226
586,667,1,BIT,212856,667_1,212856,665.9968525505051,6238.816784404488,2263.0599553733578,36.046470178354255,133101.278548348,7665.015008256275,3623.9166145700874,5299144749.330328
589,667,2,BIT,242057,667_2,242057,757.3627247426317,7094.699112933613,2573.5215526826064,40.99156440016676,151360.9960798731,8716.552682816031,4121.06956803187,6026116626.210448
607,676,3,BIT,631005,676_3,631005,1469.9820286483505,4849.676275270876,7958.712116833079,36.482799661743066,309759.20751809626,77690.69739093154,11890.015058733336,14598531093.104357
625,703,1BLR,BIT,864741,703_1BLR,864741,2439.822966071528,9557.500399206701,11314.556790072307,72.48336671873582,532083.9568388388,79386.17033889228,13856.149573653345,20519424791.503624
627,703,2BLR,BIT,1325451,703_2BLR,1325451,3739.692914066145,14649.471300226218,17342.638561093012,111.10049240259812,815563.5186443056,121680.91817301956,21238.32142635587,31451604710.917225
629,703,3BLR,BIT,1661079,703_3BLR,1661079,4686.650329589007,18358.980556737646,21734.106140794203,139.2331325862784,1022078.8501318906,152492.71219978796,26616.245879002527,39415715934.88229
631,703,4BLR,BIT,1527623,703_4BLR,1527623,4310.110979933976,16883.965756610753,19987.92376829667,128.04673089049248,939962.0122071432,140240.99665866385,24477.81795954285,36248940732.85659
633,708,1,BIT,25294,708_1,25294,73.07098937582917,411.72353787889324,328.2169173190968,1.932974368559005,14332.440142082296,1739.084291846177,284.8896092125478,604775929.1952546
635,708,2,BIT,22206,708_2,22206,64.15016960858948,361.45856258949567,288.14678840783836,1.696988567574178,12582.674381081659,1526.7694229752592,250.10906389554185,530942290.01778376
637,708,3,BIT,24109,708_3,24109,69.64768256748103,392.434679161945,312.8402648709617,1.8424163458365244,13660.9788639781,1657.6098360132632,271.54280020974596,576442748.3580451
639,708,4,BIT,458477,708_4,458477,1324.4788485831434,7462.867576346222,5949.233320222485,35.03693720146386,259788.6518155082,31522.50133916185,5163.886034749002,10962119620.844973
641,709,1,BIT,121093,709_1,121093,510.6151403210033,2181.2390773664315,998.6599891784309,16.128765284118504,119033.05834568896,3238.5817408844214,1806.8101356880995,2994527268.8135595
643,709,3,BIT,43653,709_3,43653,184.07242962378305,786.3181971235069,360.00846050230854,5.814283162095456,42910.40849565507,1167.481264274794,651.3397376660303,1079501695.9322033
645,709,4,BIT,174958,709_4,174958,737.748703230427,3151.5052604021384,1442.8873212050235,23.303217498772064,171981.74809481183,4679.17868267907,2610.5215637544575,4326563070.508474
665,727,3,BIT,22724,727_3,22724,71.10023902242679,666.0412326117544,241.59889514932243,3.8482353719553224,14209.575740090293,818.2987608881854,386.88071348465945,565724082.4021045
667,728,Y1BR,BIT,0,728_Y1BR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,728,Y2BR,BIT,0,728_Y2BR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673,728,Y3BR,BIT,0,728_Y3BR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676,728,Y4BR,BIT,1857,728_Y4BR,1857,4.32953134065,14.252075930699998,21.875083446825002,0.10571131969875001,911.5979245189892,229.9537073925,35.882886208500004,42909699.0
679,728,Y5BR,BIT,1924,728_Y5BR,1924,4.4857395258,14.766286532399999,22.6643298609,0.109525352235,944.4881027326522,238.25036781,37.17752992200001,44457868.0
682,728,Y6BR,BIT,112459,728_Y6BR,112459,262.19427304155,863.0986575608999,1324.744216126275,6.40182514916625,55205.91868254227,13925.882595397501,2173.0498115895007,2598590113.0
685,728,Y7BR,BIT,0,728_Y7BR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
688,733,1,BIT,77764,733_1,77764,243.31275247931688,2279.2655524036463,826.777701214219,13.169080067978072,48626.71395231392,2800.3073772975204,1323.9478878463765,1935969351.518978
690,733,2,BIT,68631,733_2,68631,214.73686429977877,2011.5770038451553,729.6767194593007,11.622436270580256,42915.74514249855,2471.42502457829,1168.4567086413335,1708599256.2638109
692,733,3,BIT,21093,733_3,21093,65.9970666123943,618.2365657225723,224.25829499140374,3.5720308352690378,13189.692883547112,759.5659110814335,359.11260735486366,525119612.3089065
696,753,ST,BIT,119,753_ST,119,0.3723344676847733,3.4878941507128483,1.2651940029382756,0.02015226233333407,74.41205391087594,4.285229385041985,2.0259991596846714,2962557.903795566
728,856,1,BIT,0,856_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
730,856,1,SUB,0,856_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731,856,2,BIT,0,856_2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
733,856,2,SUB,1010187,856_2,1010187,1321.3238045254045,4886.9407430420315,5408.845631144383,135.9808101088265,103220.9157907734,50589.15409511135,76155.04161774449,16581209418.0
734,856,3,BIT,0,856_3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736,856,3,SUB,859211,856_3,859211,1123.8473148140665,4156.570261515825,4600.474628540258,115.6579997905486,87794.18689560072,43028.427092424194,64773.4028090085,14103089354.0
737,861,1,BIT,400,861_1,400,0.5231996866027397,1.9350638022631579,2.141720545263158,0.053843817078947365,40.872003219512195,20.031599731578943,30.1548294,6565600.0
739,861,1,SUB,986438,861_1,986438,1290.2601311325834,4772.051167442162,5281.686328070747,132.78396807930667,100794.24277962293,49399.82794004818,74364.674009193,16191393332.0
740,861,2,BIT,3900,861_2,3900,5.101196944376712,18.866872072065792,20.88177531631579,0.5249772165197367,398.50203139024387,195.30809738289472,294.00958665,64014600.0
742,861,2,SUB,1848836,861_2,1848836,2418.2760394496568,8944.03904980252,9899.225115055388,248.87096848243183,188914.07736087512,92587.85680333372,139378.335421446,30346794104.0
748,874,5,SUB,822488,874_5,822488,1075.8136595862854,3978.9168914895504,4403.848619581011,110.71473355407315,84041.83046002536,41189.376000067256,62004.963308868,13500318032.0
750,876,1,SUB,1582197,876_1,1582197,1780.077858933871,5821.869521851936,7798.568167070796,185.35657837229238,165104.18061368048,75689.13586617063,82775.7104094451,26380615946.966225
752,876,2,SUB,1585053,876_2,1585053,1783.2910506951469,5832.378490933795,7812.645245137027,185.6911627431585,165402.20768605682,75825.76118655349,82925.12759891606,26428235199.90662
753,879,51,BIT,0,879_51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
755,879,51,SUB,928654,879_51,928654,1214.6787044059515,4492.511850567226,4972.293378102031,125.00569026408196,94889.87319453219,46506.06304282428,70008.50735406899,15242926756.0
756,879,52,BIT,0,879_52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
758,879,52,SUB,915386,879_52,915386,1197.3241708013386,4428.325784246157,4901.252507615652,123.21969085157326,93534.14884774097,45841.61487972781,69008.27166287099,15025145804.0
759,879,61,BIT,0,879_61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
761,879,61,SUB,897472,879_61,897472,1173.892672836835,4341.663951861802,4805.335552996042,120.8082955036926,91703.69618355512,44944.49968574905,67657.78762819199,14731105408.0
762,879,62,BIT,0,879_62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764,879,62,SUB,943181,879_62,943181,1233.6800090241466,4562.7885302059185,5050.075314004626,126.96116309084661,96374.24217145682,47233.5606660759,71103.65537080349,15481372934.0
766,883,7,SUB,753545,883_7,753545,985.6362696026536,3645.3941321909783,4034.707020700816,101.43434785188848,76997.23416511828,37736.779549331644,56807.552300557494,12368687630.0
768,883,8,SUB,368778,883_8,368778,482.3613350649629,1784.022397177507,1974.548548102642,49.641037936850125,37681.73900821317,18468.03321453055,27801.094191182998,6053122092.0
770,884,3,SUB,257355,884_3,257355,336.6201383641202,1244.9958620785874,1377.9562273155,34.64243886088124,26296.535971393903,12888.080872301249,19401.2403005925,4224224970.0
772,884,4,SUB,1328311,884_4,1328311,1737.4297472774294,6425.916335619943,7112.177397997626,178.8033362698841,135726.82867128367,66520.4856776334,100137.4789878585,21802896754.0
774,887,1,SUB,551495,887_1,551495,506.9559217779096,1310.6950117499184,2454.3510306609437,53.77527597572265,58896.45128444678,24991.830119226397,14537.058696294895,9356268831.685797
776,887,2,SUB,503800,887_2,503800,463.112799557042,1197.3420374067016,2242.0911327337208,49.12462313632775,53802.90330302956,22830.459050519516,13279.848722460527,8547109651.77074
778,887,3,SUB,486500,887_3,486500,447.20995828602804,1156.2264811400562,2165.099912812535,47.43773155185282,51955.36414633562,22046.483382448874,12823.831686139434,8253610253.248242
780,887,4,SUB,536000,887_4,536000,492.7123075874842,1273.8692577411514,2385.3927096968528,52.26438666350074,57241.675606240264,24289.650756408217,14128.62031607551,9093391769.251919
782,887,5,SUB,538400,887_5,538400,494.91848209906993,1279.5731499399924,2396.0735725760924,52.49840630527761,57497.98161641746,24398.41038666079,14191.882795102716,9134108448.815733
784,887,6,SUB,467971,887_6,467971,430.1773718172062,1112.1900567432544,2082.639201025272,45.631002409151314,49976.57495359676,21206.8137203864,12335.418988683157,7939260521.732443
787,889,1,SUB,2122331,889_1,2122331,2776.007285168198,10267.114736302427,11363.59976637226,285.68600536244855,216859.79866217633,106284.21272480418,159996.32308832847,34835941034.0
790,889,2,SUB,1615131,889_2,1615131,2112.590082555924,7813.453835032742,8647.898114978574,217.41204530634332,165034.09857983488,80884.14426516209,121759.99940912848,26510760234.0
